snake: x=92, y=23
snake: x=88, y=23
snake: x=84, y=23
snake: x=80, y=23
snake: x=76, y=23
snake: x=72, y=23
snake: x=68, y=23
snake: x=64, y=23
snake: x=60, y=23
snake: x=56, y=23
snake: x=52, y=23
new position: x=16, y=4
snake: x=48, y=23
snake: x=44, y=23
snake: x=40, y=23
snake: x=36, y=23
snake: x=32, y=23
snake: x=28, y=23
snake: x=24, y=23
snake: x=20, y=23
snake: x=16, y=23
snake: x=12, y=23
snake: x=8, y=23
snake: x=4, y=23
snake: x=4, y=23
snake: x=4, y=23
snake: x=4, y=23
snake: x=4, y=23
snake: x=4, y=23
snake: x=4, y=23
snake: x=4, y=23
snake: x=4, y=23
snake: x=4, y=23
snake: x=4, y=23
snake: x=4, y=21
snake: x=4, y=19
snake: x=4, y=17
snake: x=8, y=17
snake: x=12, y=17
snake: x=16, y=17
snake: x=20, y=17
snake: x=24, y=17
snake: x=24, y=15
snake: x=24, y=13
snake: x=24, y=11
snake: x=24, y=9
snake: x=20, y=9
snake: x=16, y=9
snake: x=12, y=9
snake: x=12, y=7
snake: x=12, y=5
new position: x=38, y=23
snake: x=16, y=5
snake: x=20, y=5
snake: x=24, y=5
snake: x=28, y=5
snake: x=32, y=5
snake: x=36, y=5
snake: x=36, y=7
snake: x=36, y=9
snake: x=36, y=11
snake: x=36, y=13
snake: x=36, y=15
snake: x=36, y=17
snake: x=36, y=19
snake: x=36, y=21
snake: x=36, y=23
new position: x=30, y=26
snake: x=36, y=25
snake: x=40, y=25
snake: x=44, y=25
snake: x=48, y=25
snake: x=52, y=25
snake: x=56, y=25
snake: x=60, y=25
snake: x=64, y=25
snake: x=68, y=25
snake: x=68, y=23
snake: x=64, y=23
snake: x=60, y=23
snake: x=56, y=23
snake: x=52, y=23
snake: x=48, y=23
snake: x=44, y=23
snake: x=40, y=23
snake: x=36, y=23
snake: x=32, y=23
snake: x=28, y=23
snake: x=28, y=25
snake: x=28, y=27
new position: x=25, y=3
snake: x=28, y=29
snake: x=28, y=31
snake: x=28, y=33
snake: x=28, y=35
snake: x=32, y=35
snake: x=36, y=35
snake: x=40, y=35
snake: x=40, y=33
snake: x=40, y=31
snake: x=40, y=29
snake: x=40, y=27
snake: x=36, y=27
snake: x=32, y=27
snake: x=28, y=27
snake: x=28, y=25
snake: x=28, y=23
snake: x=28, y=21
snake: x=28, y=19
snake: x=28, y=17
snake: x=28, y=15
snake: x=28, y=13
snake: x=28, y=11
snake: x=28, y=9
snake: x=28, y=7
snake: x=28, y=5
new position: x=58, y=28
snake: x=32, y=5
snake: x=36, y=5
snake: x=40, y=5
snake: x=44, y=5
snake: x=48, y=5
snake: x=52, y=5
snake: x=52, y=7
snake: x=52, y=9
snake: x=52, y=11
snake: x=52, y=13
snake: x=52, y=15
snake: x=52, y=17
snake: x=56, y=17
snake: x=60, y=17
snake: x=60, y=19
snake: x=60, y=21
snake: x=60, y=23
snake: x=60, y=25
snake: x=60, y=27
snake: x=60, y=29
new position: x=59, y=17
snake: x=60, y=31
snake: x=60, y=33
snake: x=56, y=33
snake: x=52, y=33
snake: x=48, y=33
snake: x=44, y=33
snake: x=40, y=33
snake: x=36, y=33
snake: x=36, y=31
snake: x=36, y=29
snake: x=36, y=27
snake: x=36, y=25
snake: x=36, y=23
snake: x=36, y=21
snake: x=36, y=19
snake: x=36, y=17
snake: x=40, y=17
snake: x=44, y=17
snake: x=48, y=17
snake: x=52, y=17
snake: x=56, y=17
new position: x=7, y=28
snake: x=60, y=17
snake: x=64, y=17
snake: x=68, y=17
snake: x=72, y=17
snake: x=72, y=19
snake: x=72, y=21
snake: x=72, y=23
snake: x=68, y=23
snake: x=64, y=23
snake: x=60, y=23
snake: x=56, y=23
snake: x=52, y=23
